LeadSourceGroup,ZipCode,LoanPurpose,LoanType,TotalLoanAmount,CreditScore,CLTV,DTI,BorrowerAge,BorrowerOwnRent,Approved,TotalIncome,Education
Internet,Other,Refinance,Conventional                                      ,184000.0,806,80.0,14.0,28,Own,1,9970.0,UnderGrad
Internet,76,Refinance,Conventional                                      ,323980.0,700,79.99,30.0,71,Own,1,12744.34,PHD
Internet,77,Refinance,Conventional                                      ,265282.0,806,76.67,30.0,36,Own,1,13767.08,UnderGrad
TV,77,Refinance,Conventional                                      ,274079.0,777,57.7,21.0,37,Own,1,16751.31,UnderGrad
Internet,75,Refinance,Conventional                                      ,224000.0,804,80.0,32.0,39,Own,1,7468.0,UnderGrad
Other,75,Refinance,Conventional                                      ,370000.0,702,74.0,31.0,59,Own,0,15506.14,UnderGrad
TV,76,Refinance,Conventional                                      ,220000.0,755,55.0,41.0,68,Own,1,6635.0,UnderGrad
Other,76,Refinance,Conventional                                      ,129000.0,776,49.42,26.0,49,Own,1,7513.67,UnderGrad
Internet,75,Refinance,Conventional                                      ,300800.0,672,84.73,36.0,44,Own,1,17898.21,Higher School
TV,75,Refinance,Conventional                                      ,265000.0,686,76.81,33.0,49,Own,1,6723.6,UnderGrad
Other,75,Refinance,Conventional                                      ,438675.0,786,50.13,26.0,58,Own,1,26772.08,UnderGrad
Repeat Client,75,Refinance,Conventional                                      ,127000.0,713,58.79,31.0,53,Own,1,8890.0,UnderGrad
Internet,75,Refinance,Conventional                                      ,358425.0,725,64.0,33.0,49,Own,1,13202.0,UnderGrad
Internet,75,Refinance,Conventional                                      ,80000.0,719,80.0,43.0,49,Own,1,5144.0,Higher School
Repeat Client,76,Refinance,Conventional                                      ,223250.0,739,95.0,26.0,37,Own,1,8240.42,Higher School
TV,75,Refinance,Conventional                                      ,150500.0,695,70.0,29.0,64,Own,1,7500.0,UnderGrad
Internet,77,Refinance,VA                                                ,254900.0,765,100.0,43.0,39,Own,1,6406.0,UnderGrad
Other,75,Refinance,Conventional                                      ,196000.0,703,77.47,42.0,54,Own,1,4941.76,UnderGrad
Other,75,Refinance,Conventional                                      ,175560.0,790,73.15,49.0,62,Rent,1,3481.92,Higher School
Radio,76,Refinance,Conventional                                      ,217000.0,764,83.46,30.0,59,Own,1,12507.5,PostGrad
Internet,75,Refinance,Conventional                                      ,368000.0,678,80.0,36.0,44,Own,1,17291.68,PostGrad
TV,75,Refinance,Conventional                                      ,341600.0,762,80.0,29.0,57,Own,1,16368.46,UnderGrad
TV,77,Refinance,Conventional                                      ,92050.0,716,47.2,44.0,62,Own,1,2980.04,PostGrad
Internet,75,Refinance,Conventional                                      ,214474.0,716,94.9,35.0,32,Own,1,9833.33,Higher School
Repeat Client,75,Refinance,Conventional                                      ,361600.0,775,43.83,24.0,47,Own,1,19425.0,UnderGrad
Other,75,Refinance,Conventional                                      ,376000.0,790,80.0,19.0,43,Own,1,14915.42,PHD
Internet,Other,Refinance,Conventional                                      ,390000.0,766,35.45,42.0,35,Own,1,9833.33,PostGrad
Internet,77,Refinance,Conventional                                      ,230000.0,635,60.52,19.0,43,Own,0,14166.66,UnderGrad
Repeat Client,76,Refinance,Conventional                                      ,165000.0,695,78.57,39.0,67,Own,0,6300.0,PostGrad
TV,76,Refinance,Conventional                                      ,106400.0,792,78.81,44.0,48,Own,1,3081.02,UnderGrad
Other,75,Refinance,Conventional                                      ,306500.0,731,64.52,26.0,37,Own,0,23504.07,UnderGrad
Internet,76,Refinance,Conventional                                      ,318250.0,765,95.0,49.0,39,Rent,1,8859.2,UnderGrad
Repeat Client,76,Refinance,Conventional                                      ,201600.0,686,70.73,32.0,55,Own,1,7362.77,UnderGrad
Internet,75,Refinance,Conventional                                      ,221758.0,651,82.74,45.0,53,Own,1,5160.42,UnderGrad
Repeat Client,76,Refinance,Conventional                                      ,115616.0,622,65.69,46.0,50,Own,1,5544.35,UnderGrad
TV,75,Refinance,Conventional                                      ,143000.0,714,71.5,35.0,33,Own,0,5436.34,Higher School
Internet,75,Refinance,Conventional                                      ,135750.0,700,75.0,46.0,61,Own,1,9732.0,UnderGrad
TV,75,Refinance,Conventional                                      ,203200.0,671,80.0,37.0,34,Own,1,4265.52,UnderGrad
Internet,77,Refinance,Conventional                                      ,163200.0,715,78.46,45.0,72,Own,1,4362.44,UnderGrad
TV,75,Refinance,Conventional                                      ,188000.0,701,80.0,43.0,47,Own,0,5267.52,UnderGrad
Other,75,Refinance,Conventional                                      ,226982.0,723,82.53,41.0,36,Own,1,5664.42,PostGrad
Repeat Client,76,Refinance,Conventional                                      ,150500.0,664,70.0,42.0,59,Own,1,5026.67,UnderGrad
Radio,75,Refinance,Conventional                                      ,224000.0,704,78.59,36.0,54,Own,0,10000.0,UnderGrad
Repeat Client,75,Refinance,Conventional                                      ,200000.0,804,36.69,54.0,61,Own,1,7282.0,UnderGrad
Internet,77,Refinance,Conventional                                      ,94250.0,759,52.36,46.0,38,Own,1,5254.98,UnderGrad
Internet,Other,Refinance,Conventional                                      ,158400.0,733,80.0,23.0,73,Own,1,6808.36,Higher School
Internet,75,Refinance,Conventional                                      ,387000.0,792,77.4,38.0,45,Own,1,9304.17,UnderGrad
Radio,76,Refinance,Conventional                                      ,310000.0,767,69.66,40.0,50,Own,1,19386.87,PostGrad
TV,75,Refinance,Conventional                                      ,212000.0,798,80.0,32.0,64,Own,1,8037.93,PostGrad
Other,75,Refinance,Conventional                                      ,206500.0,705,60.2,33.0,36,Own,0,6083.0,PostGrad
Other,76,Refinance,Conventional                                      ,147000.0,711,55.47,45.0,31,Own,0,10000.0,Higher School
TV,75,Refinance,Conventional                                      ,386940.0,761,93.23,48.0,40,Own,1,8158.33,PostGrad
Other,75,Refinance,Conventional                                      ,345000.0,803,55.64,32.0,41,Own,1,10364.41,UnderGrad
Internet,78,Refinance,Conventional                                      ,70000.0,733,51.09,36.0,74,Own,1,3756.6,PostGrad
TV,75,Refinance,Conventional                                      ,268800.0,696,80.0,47.0,55,Own,1,12878.67,UnderGrad
Internet,78,Refinance,Conventional                                      ,190000.0,693,47.5,12.0,62,Own,0,13773.5,UnderGrad
TV,75,Refinance,Conventional                                      ,298000.0,743,79.89,43.0,60,Own,1,6666.67,UnderGrad
Repeat Client,76,Refinance,Conventional                                      ,113500.0,670,57.9,41.0,62,Own,1,4599.53,Higher School
Internet,75,Refinance,Conventional                                      ,376000.0,780,55.29,43.0,56,Own,0,6308.75,UnderGrad
Repeat Client,75,Refinance,Conventional                                      ,210000.0,650,54.54,32.0,53,Own,1,12238.9,UnderGrad
Repeat Client,76,Refinance,Conventional                                      ,204838.0,781,67.16,42.0,53,Own,1,4342.0,UnderGrad
Internet,75,Refinance,Conventional                                      ,180075.0,770,72.61,23.0,47,Own,1,6500.0,UnderGrad
Radio,76,Refinance,Conventional                                      ,213000.0,781,49.53,29.0,43,Own,0,11798.33,UnderGrad
Repeat Client,75,Refinance,Conventional                                      ,454300.0,736,45.38,33.0,58,Own,1,15508.0,UnderGrad
Internet,77,Refinance,Conventional                                      ,247500.0,704,75.0,47.0,57,Own,1,15058.43,UnderGrad
TV,75,Refinance,Conventional                                      ,199200.0,701,80.0,38.0,39,Own,1,16314.55,PHD
Internet,75,Refinance,Conventional                                      ,252000.0,676,80.0,34.0,55,Own,1,18750.0,UnderGrad
TV,75,Refinance,Conventional                                      ,118000.0,622,38.68,44.0,53,Own,1,4784.83,UnderGrad
Internet,77,Refinance,Conventional                                      ,246500.0,749,61.62,19.0,41,Own,1,14656.0,UnderGrad
Radio,76,Refinance,Conventional                                      ,123750.0,657,67.25,29.0,47,Own,1,11121.07,UnderGrad
Radio,75,Refinance,Conventional                                      ,329619.0,804,68.67,25.0,34,Own,1,13333.34,UnderGrad
TV,76,Refinance,Conventional                                      ,297880.0,766,41.37,23.0,66,Own,1,24282.75,UnderGrad
Internet,75,Refinance,Conventional                                      ,124000.0,802,32.63,32.0,74,Own,0,3249.0,UnderGrad
TV,75,Refinance,Conventional                                      ,400000.0,707,64.0,35.0,55,Own,1,25625.0,UnderGrad
Internet,78,Refinance,Conventional                                      ,315000.0,667,52.5,40.0,45,Own,0,10615.07,UnderGrad
Radio,75,Refinance,Conventional                                      ,245182.0,789,32.26,34.0,59,Own,1,11666.68,UnderGrad
Internet,76,Refinance,Conventional                                      ,110000.0,764,48.88,36.0,54,Own,1,7208.18,UnderGrad
TV,Other,Refinance,Conventional                                      ,117000.0,698,39.66,32.0,47,Own,0,14583.13,UnderGrad
Internet,76,Refinance,VA                                                ,347100.0,720,77.13,,51,Own,0,0.0,UnderGrad
Internet,75,Refinance,Conventional                                      ,315000.0,803,75.0,29.0,38,Own,0,12808.34,UnderGrad
Internet,78,Refinance,Conventional                                      ,274000.0,779,52.29,14.0,58,Own,1,13742.5,UnderGrad
Internet,75,Refinance,Conventional                                      ,280000.0,760,80.0,48.0,39,Own,0,8619.17,PostGrad
Radio,75,Refinance,Conventional                                      ,256800.0,749,80.0,48.0,44,Own,1,7508.41,UnderGrad
Internet,76,Refinance,Conventional                                      ,104000.0,681,80.0,33.0,62,Own,1,5516.09,Higher School
Internet,76,Refinance,Conventional                                      ,152000.0,795,48.56,14.0,68,Own,0,11367.06,UnderGrad
Internet,77,Refinance,Conventional                                      ,105000.0,621,30.0,40.0,43,Own,0,4680.0,UnderGrad
TV,76,Refinance,Conventional                                      ,205000.0,804,55.55,13.0,48,Own,1,18858.64,UnderGrad
Internet,75,Refinance,Conventional                                      ,104000.0,704,80.0,32.0,49,Own,1,3845.37,UnderGrad
TV,75,Refinance,Conventional                                      ,160000.0,781,80.0,24.0,71,Own,0,7321.1900000000005,UnderGrad
Internet,77,Refinance,Conventional                                      ,350200.0,801,77.82,23.0,37,Own,1,9508.58,UnderGrad
Internet,75,Refinance,Conventional                                      ,175000.0,796,59.32,37.0,57,Own,0,5000.0,PostGrad
Internet,Other,Refinance,Conventional                                      ,464000.0,723,79.83,25.0,37,Own,0,17200.0,UnderGrad
Internet,76,Refinance,Conventional                                      ,249699.0,752,83.23,36.0,39,Rent,1,6595.12,UnderGrad
Radio,75,Refinance,Conventional                                      ,320000.0,673,79.01,44.0,56,Own,1,14521.41,UnderGrad
Internet,78,Refinance,Conventional                                      ,179925.0,687,69.2,34.0,41,Own,1,7553.25,UnderGrad
Internet,77,Refinance,Conventional                                      ,314000.0,771,60.97,26.0,57,Own,1,24176.0,UnderGrad
Other,78,Refinance,VA                                                ,194280.0,727,74.72,,56,Own,1,0.0,UnderGrad
Radio,75,Refinance,Conventional                                      ,502500.0,740,75.0,48.0,52,Own,1,15011.88,UnderGrad
Internet,77,Refinance,Conventional                                      ,190750.0,807,71.98,30.0,75,Own,1,5554.99,UnderGrad
Internet,76,Refinance,Conventional                                      ,105000.0,641,57.37,47.0,58,Own,0,6210.99,Higher School
Radio,75,Refinance,Conventional                                      ,174000.0,733,52.72,33.0,49,Own,1,7918.56,PostGrad
Radio,76,Refinance,Conventional                                      ,109600.0,799,20.67,24.0,37,Own,1,12968.21,UnderGrad
Radio,75,Refinance,Conventional                                      ,320000.0,720,79.01,25.0,45,Own,1,12316.42,UnderGrad
Internet,75,Refinance,Conventional                                      ,129700.0,731,74.97,32.0,53,Own,1,10416.66,UnderGrad
Internet,77,Refinance,Conventional                                      ,185000.0,644,65.6,48.0,64,Own,0,7645.89,Higher School
Internet,76,Refinance,Conventional                                      ,70000.0,657,66.98,39.0,41,Own,1,4346.4,UnderGrad
TV,77,Refinance,Conventional                                      ,175000.0,797,79.54,36.0,72,Own,0,6249.66,UnderGrad
Internet,75,Refinance,Conventional                                      ,168000.0,717,76.36,19.0,46,Own,1,14089.0,PHD
Internet,77,Refinance,Conventional                                      ,142500.0,762,75.0,21.0,58,Own,0,19166.66,Higher School
Radio,75,Refinance,Conventional                                      ,100000.0,663,62.5,16.0,55,Own,1,10663.33,UnderGrad
Internet,76,Refinance,Conventional                                      ,157900.0,809,52.45,29.0,78,Own,1,7054.71,UnderGrad
Internet,75,Refinance,Conventional                                      ,180950.0,754,72.96,22.0,48,Own,1,8303.16,UnderGrad
Internet,78,Refinance,Conventional                                      ,244408.0,795,82.85,34.0,33,Own,1,7685.69,PostGrad
Repeat Client,76,Refinance,Conventional                                      ,166635.0,797,53.75,17.0,41,Own,1,11713.0,UnderGrad
TV,76,Refinance,Conventional                                      ,121250.0,758,97.0,36.0,28,Own,1,3167.0,Higher School
Internet,75,Refinance,Conventional                                      ,295450.0,719,95.0,34.0,31,Own,1,10452.5,PostGrad
Other,78,Refinance,Conventional                                      ,456000.0,763,80.0,31.0,34,Own,1,17850.0,UnderGrad
Internet,75,Refinance,Conventional                                      ,228295.0,692,77.38,47.0,50,Own,1,10695.34,UnderGrad
Internet,77,Refinance,Conventional                                      ,140000.0,771,58.33,18.0,47,Own,0,9583.33,UnderGrad
Radio,76,Refinance,Conventional                                      ,192000.0,680,80.0,44.0,48,Own,1,15810.0,Higher School
Repeat Client,75,Refinance,Conventional                                      ,470000.0,778,89.59,49.0,40,Own,1,11718.31,PostGrad
Repeat Client,76,Refinance,Conventional                                      ,226762.0,714,79.56,30.0,45,Own,0,21370.85,UnderGrad
Internet,76,Refinance,Conventional                                      ,125000.0,713,37.87,53.0,63,Own,1,7000.0,PHD
Internet,76,Refinance,Conventional                                      ,328321.0,725,78.77,39.0,33,Own,0,14208.33,PostGrad
Internet,76,Refinance,Conventional                                      ,223300.0,675,70.0,41.0,48,Own,1,7728.28,UnderGrad
TV,76,Refinance,Conventional                                      ,343900.0,800,45.25,36.0,63,Own,0,10730.66,UnderGrad
Internet,75,Refinance,Conventional                                      ,308000.0,672,80.0,37.0,48,Own,1,8466.68,UnderGrad
Internet,75,Refinance,Conventional                                      ,70000.0,743,23.89,12.0,45,Own,1,14204.86,PostGrad
Internet,76,Refinance,Conventional                                      ,215000.0,760,38.39,21.0,51,Own,1,15792.0,UnderGrad
TV,75,Refinance,Conventional                                      ,164000.0,709,80.0,28.0,36,Own,1,9655.51,UnderGrad
Radio,76,Refinance,Conventional                                      ,325000.0,651,83.33,63.0,50,Own,0,7451.34,UnderGrad
Other,78,Refinance,Conventional                                      ,310000.0,716,80.0,42.0,62,Own,1,6041.139999999999,UnderGrad
Internet,77,Refinance,Conventional                                      ,392400.0,804,77.7,22.0,34,Own,1,13461.98,UnderGrad
Internet,75,Refinance,FHA                                               ,198921.0,714,97.75,71.0,48,Own,1,4823.75,UnderGrad
Radio,75,Refinance,Conventional                                      ,360000.0,769,77.66,37.0,34,Own,0,10166.66,UnderGrad
Internet,75,Refinance,Conventional                                      ,421000.0,777,72.58,36.0,44,Own,1,14967.76,UnderGrad
Internet,75,Refinance,Conventional                                      ,144000.0,685,75.0,37.0,48,Own,1,5510.33,UnderGrad
Internet,77,Refinance,Conventional                                      ,221520.0,663,80.0,41.0,60,Own,1,14740.45,UnderGrad
TV,75,Refinance,Conventional                                      ,250000.0,774,45.45,29.0,55,Own,0,9691.07,UnderGrad
Internet,75,Refinance,Conventional                                      ,365000.0,794,77.65,43.0,46,Own,1,9942.0,UnderGrad
Internet,76,Refinance,Conventional                                      ,215600.0,747,65.33,38.0,68,Own,1,8577.38,UnderGrad
TV,76,Refinance,Conventional                                      ,299025.0,747,85.43,39.0,51,Own,1,7803.17,UnderGrad
Other,75,Refinance,Conventional                                      ,259897.0,774,77.58,29.0,29,Own,1,7991.58,UnderGrad
Internet,77,Refinance,Conventional                                      ,190000.0,803,50.0,30.0,81,Own,1,9419.0,PostGrad
Repeat Client,Other,Refinance,Conventional                                      ,409500.0,788,78.0,48.0,41,Own,1,7196.93,UnderGrad
Internet,79,Refinance,Conventional                                      ,150000.0,661,62.5,39.0,39,Own,1,7547.17,Higher School
Repeat Client,75,Refinance,Conventional                                      ,165650.0,686,73.29,44.0,68,Own,1,7158.58,UnderGrad
Internet,76,Refinance,Conventional                                      ,480000.0,795,80.0,39.0,47,Own,1,10951.77,UnderGrad
Internet,76,Refinance,Conventional                                      ,160550.0,685,95.0,28.0,73,Rent,1,6846.08,UnderGrad
Internet,75,Refinance,Conventional                                      ,221592.0,797,42.61,13.0,45,Own,1,14961.92,UnderGrad
Internet,75,Refinance,Conventional                                      ,180000.0,780,46.75,11.0,58,Own,1,27435.0,UnderGrad
TV,76,Refinance,Conventional                                      ,210000.0,797,72.41,38.0,37,Own,1,7072.0,UnderGrad
TV,75,Refinance,Conventional                                      ,80000.0,751,55.17,44.0,66,Own,1,2216.41,UnderGrad
Other,77,Refinance,FHA                                               ,154029.0,675,84.1,39.0,28,Own,0,3750.0,UnderGrad
Radio,75,Refinance,Conventional                                      ,265000.0,778,59.55,17.0,54,Own,0,27083.33,UnderGrad
Internet,78,Refinance,VA                                                ,335261.0,769,90.11,,41,Own,1,0.0,UnderGrad
Internet,75,Refinance,Conventional                                      ,408000.0,796,58.28,41.0,58,Own,0,10466.83,UnderGrad
Repeat Client,75,Refinance,Conventional                                      ,172800.0,699,75.13,35.0,61,Own,0,8334.0,Higher School
Internet,76,Refinance,Conventional                                      ,285750.0,714,79.37,47.0,44,Own,1,4885.88,UnderGrad
Radio,77,Refinance,Conventional                                      ,336800.0,665,76.54,44.0,38,Own,0,23276.61,PostGrad
TV,75,Refinance,Conventional                                      ,255834.0,803,40.93,25.0,55,Own,1,20333.94,PHD
Repeat Client,76,Refinance,Conventional                                      ,191250.0,636,75.0,29.0,53,Own,1,13500.0,PHD
Internet,75,Refinance,Conventional                                      ,510400.0,688,68.05,33.0,52,Own,1,16365.11,UnderGrad
Internet,77,Refinance,Conventional                                      ,235500.0,697,78.5,39.0,41,Own,1,5750.0,UnderGrad
Internet,75,Refinance,Conventional                                      ,418400.0,816,80.0,35.0,42,Own,1,18429.89,UnderGrad
Internet,77,Refinance,Conventional                                      ,249825.0,785,73.04,37.0,71,Own,1,7619.200000000001,UnderGrad
Internet,75,Refinance,Conventional                                      ,143500.0,724,70.0,33.0,46,Own,1,24742.08,UnderGrad
Radio,75,Refinance,VA                                                ,373000.0,623,100.0,31.0,48,Rent,1,9069.29,UnderGrad
Radio,76,Refinance,Conventional                                      ,166354.0,736,73.93,41.0,28,Own,1,3750.0,UnderGrad
Internet,76,Refinance,Conventional                                      ,214000.0,745,71.33,31.0,57,Own,1,13380.98,Higher School
Internet,77,Refinance,Conventional                                      ,140000.0,642,82.35,49.0,44,Own,0,5906.25,UnderGrad
Internet,76,Refinance,FHA                                               ,348570.0,704,96.5,42.0,56,Rent,1,9226.880000000001,UnderGrad
Other,75,Refinance,Conventional                                      ,116250.0,646,75.0,21.0,44,Own,1,9020.23,UnderGrad
Internet,75,Refinance,Conventional                                      ,220500.0,756,70.0,42.0,55,Own,1,9240.689999999999,UnderGrad
TV,75,Refinance,Conventional                                      ,236000.0,713,80.0,25.0,39,Own,0,7251.68,UnderGrad
Internet,76,Refinance,Conventional                                      ,113000.0,793,62.77,33.0,48,Own,1,8110.27,UnderGrad
TV,76,Refinance,Conventional                                      ,250000.0,742,45.87,41.0,56,Own,1,14041.43,UnderGrad
Internet,76,Refinance,Conventional                                      ,197000.0,686,57.94,19.0,47,Own,1,10887.5,UnderGrad
Internet,77,Refinance,Conventional                                      ,287172.0,809,52.21,17.0,59,Own,0,16833.0,UnderGrad
Internet,78,Refinance,Conventional                                      ,510000.0,782,65.38,13.0,51,Own,1,20529.85,PostGrad
Internet,75,Refinance,Conventional                                      ,204000.0,800,78.46,13.0,49,Own,0,16666.0,UnderGrad
Radio,75,Refinance,Conventional                                      ,245850.0,797,78.04,23.0,38,Own,1,7916.67,PostGrad
TV,75,Refinance,Conventional                                      ,104000.0,757,56.21,35.0,58,Own,1,3213.6,UnderGrad
Internet,Other,Refinance,Conventional                                      ,340000.0,706,59.64,43.0,63,Own,1,10356.68,UnderGrad
Internet,78,Refinance,Conventional                                      ,193000.0,732,63.9,43.0,40,Own,1,5704.92,UnderGrad
TV,76,Refinance,Conventional                                      ,396200.0,793,63.9,25.0,59,Own,1,17179.0,UnderGrad
Radio,75,Refinance,FHA                                               ,372150.0,683,95.0,45.0,34,Own,1,10420.68,UnderGrad
Internet,76,Refinance,Conventional                                      ,276815.0,804,47.23,40.0,62,Own,1,9270.99,Higher School
TV,75,Refinance,Conventional                                      ,156000.0,732,80.0,44.0,50,Own,1,5059.19,UnderGrad
Internet,75,Refinance,Conventional                                      ,450000.0,789,65.21,48.0,58,Own,0,6387.0,UnderGrad
Repeat Client,75,Refinance,Conventional                                      ,210599.0,804,61.94,28.0,64,Own,1,12500.0,UnderGrad
Internet,76,Refinance,Conventional                                      ,265194.0,765,73.66,21.0,35,Own,0,13333.33,UnderGrad
Radio,75,Refinance,Conventional                                      ,318250.0,760,95.0,42.0,52,Own,1,9410.25,UnderGrad
Internet,76,Refinance,Conventional                                      ,130000.0,738,59.09,32.0,78,Own,0,3379.0,UnderGrad
Internet,77,Refinance,Conventional                                      ,160586.0,715,72.33,22.0,49,Own,1,7963.62,PostGrad
Internet,75,Refinance,Conventional                                      ,80000.0,659,34.04,34.0,63,Own,0,3891.04,Higher School
Internet,75,Refinance,Conventional                                      ,448000.0,697,80.0,39.0,54,Own,0,12566.66,UnderGrad
Other,75,Refinance,Conventional                                      ,417600.0,729,80.0,39.0,45,Own,1,15834.0,UnderGrad
Internet,76,Refinance,Conventional                                      ,170000.0,724,64.39,24.0,54,Own,1,16432.64,UnderGrad
Radio,75,Refinance,Conventional                                      ,450000.0,782,69.23,32.0,70,Own,1,7951.35,UnderGrad
Other,75,Refinance,Conventional                                      ,252883.0,795,84.29,24.0,35,Own,1,7183.42,UnderGrad
Radio,76,Refinance,Conventional                                      ,164000.0,633,80.0,44.0,53,Own,1,8238.0,Higher School
Internet,75,Refinance,FHA                                               ,243016.0,758,96.49,37.0,35,Own,1,8379.42,UnderGrad
Internet,75,Refinance,Conventional                                      ,252000.0,749,66.31,52.0,63,Own,0,4773.93,PostGrad
TV,76,Refinance,Conventional                                      ,238500.0,785,64.45,31.0,64,Own,1,8712.0,UnderGrad
TV,76,Refinance,FHA                                               ,141432.0,583,71.31,39.0,56,Own,0,3987.06,Higher School
Radio,75,Refinance,Conventional                                      ,268000.0,698,80.0,35.0,56,Own,1,11591.71,PostGrad
Internet,75,Refinance,Conventional                                      ,225779.0,734,77.85,47.0,31,Own,1,7538.43,UnderGrad
Radio,75,Refinance,Conventional                                      ,85000.0,780,79.43,44.0,61,Own,1,3743.31,Higher School
Internet,78,Refinance,Conventional                                      ,134000.0,788,53.6,37.0,32,Own,0,5880.58,UnderGrad
Internet,75,Refinance,Conventional                                      ,112550.0,708,36.3,25.0,82,Own,1,5872.74,UnderGrad
TV,75,Refinance,Conventional                                      ,357000.0,779,71.4,33.0,43,Own,0,13688.61,UnderGrad
TV,76,Refinance,VA                                                ,355000.0,673,88.75,,55,Own,1,0.0,PostGrad
Other,75,Refinance,Conventional                                      ,416500.0,779,73.71,34.0,42,Own,1,6916.0,PostGrad
Other,75,Refinance,Conventional                                      ,227930.0,758,57.7,27.0,45,Own,1,11310.13,UnderGrad
Internet,78,Refinance,Conventional                                      ,472000.0,781,38.53,27.0,59,Own,1,21483.97,UnderGrad
Other,76,Refinance,Conventional                                      ,225000.0,791,72.58,25.0,49,Own,0,12300.0,UnderGrad
Other,76,Refinance,Conventional                                      ,212000.0,715,80.0,48.0,58,Own,1,10128.97,Higher School
Radio,76,Refinance,Conventional                                      ,250000.0,682,42.51,44.0,54,Own,1,3839.74,UnderGrad
Internet,78,Refinance,Conventional                                      ,302300.0,712,50.38,36.0,35,Own,1,8161.1,UnderGrad
Radio,75,Refinance,Conventional                                      ,200800.0,716,71.71,22.0,69,Own,0,7561.0,UnderGrad
Internet,75,Refinance,Conventional                                      ,100000.0,598,45.45,44.0,42,Own,1,4364.53,UnderGrad
Internet,75,Refinance,Conventional                                      ,275500.0,748,95.0,33.0,32,Own,1,15666.16,Higher School
Radio,75,Refinance,Conventional                                      ,185000.0,700,69.02,38.0,47,Own,1,4853.33,UnderGrad
TV,77,Refinance,Conventional                                      ,147500.0,742,62.76,44.0,42,Own,1,5416.67,UnderGrad
Internet,75,Refinance,VA                                                ,262275.0,806,75.43,,69,Own,1,0.0,UnderGrad
Internet,76,Refinance,Conventional                                      ,308900.0,727,85.8,21.0,34,Own,1,19106.7,UnderGrad
Internet,75,Refinance,Conventional                                      ,200558.0,746,83.56,48.0,56,Own,1,5793.42,UnderGrad
Internet,77,Refinance,Conventional                                      ,200000.0,763,80.0,48.0,40,Own,0,4148.0,UnderGrad
Internet,77,Refinance,Conventional                                      ,196286.0,745,53.41,78.0,30,Own,1,6069.63,UnderGrad
TV,75,Refinance,Conventional                                      ,178000.0,796,69.8,31.0,52,Own,1,6602.27,UnderGrad
Other,76,Refinance,FHA                                               ,222470.0,602,96.49,37.0,40,Rent,1,8832.810000000001,UnderGrad
TV,75,Refinance,Conventional                                      ,162400.0,739,80.0,36.0,52,Own,1,4688.65,UnderGrad
Radio,78,Refinance,Conventional                                      ,97000.0,631,42.17,38.0,44,Own,0,7500.0,UnderGrad
TV,75,Refinance,Conventional                                      ,160000.0,675,51.61,35.0,64,Own,0,5973.0,UnderGrad
Internet,76,Refinance,Conventional                                      ,304500.0,754,76.12,40.0,61,Own,0,17500.0,UnderGrad
Internet,76,Refinance,Conventional                                      ,363250.0,809,78.96,21.0,37,Own,0,12500.0,PostGrad
Radio,76,Refinance,Conventional                                      ,271600.0,809,97.0,35.0,51,Own,1,5586.77,PHD
TV,75,Refinance,Conventional                                      ,129500.0,638,70.0,21.0,64,Own,1,7320.0,PostGrad
Repeat Client,76,Refinance,Conventional                                      ,157500.0,663,75.0,35.0,70,Own,0,3536.75,UnderGrad
Other,76,Refinance,Conventional                                      ,338400.0,771,80.0,25.0,39,Own,1,15118.88,UnderGrad
Internet,76,Refinance,Conventional                                      ,140880.0,675,58.21,31.0,69,Own,1,10416.66,UnderGrad
Internet,77,Refinance,Conventional                                      ,261700.0,746,83.61,38.0,59,Own,1,9836.11,UnderGrad
Internet,76,Refinance,Conventional                                      ,285000.0,763,48.46,16.0,58,Own,0,23000.0,UnderGrad
Radio,77,Refinance,Conventional                                      ,221600.0,799,80.0,26.0,42,Own,1,8666.0,PHD
Radio,75,Refinance,Conventional                                      ,200000.0,819,50.0,18.0,61,Own,0,15667.0,UnderGrad
TV,76,Refinance,Conventional                                      ,440000.0,738,73.33,26.0,44,Own,0,29912.04,UnderGrad
Internet,76,Refinance,Conventional                                      ,109000.0,777,67.28,28.0,61,Own,1,5888.46,UnderGrad
Internet,76,Refinance,Conventional                                      ,183400.0,778,44.19,25.0,54,Own,1,14461.52,UnderGrad
Internet,76,Refinance,VA                                                ,308913.0,776,96.53,,39,Own,1,0.0,UnderGrad
Internet,76,Refinance,Conventional                                      ,168750.0,689,75.0,27.0,57,Own,1,11303.84,UnderGrad
Internet,75,Refinance,Conventional                                      ,213775.0,739,85.0,44.0,57,Own,1,13714.12,UnderGrad
Other,75,Refinance,Conventional                                      ,250000.0,746,77.63,32.0,49,Own,1,11008.27,UnderGrad
Internet,75,Refinance,Conventional                                      ,220167.0,729,77.25,25.0,57,Own,1,6787.83,Higher School
Internet,76,Refinance,VA                                                ,284075.0,678,100.0,49.0,53,Rent,1,6340.58,UnderGrad
TV,75,Refinance,Conventional                                      ,177000.0,753,70.8,44.0,42,Own,0,7165.44,UnderGrad
Other,75,Refinance,Conventional                                      ,410930.0,746,63.22,33.0,60,Own,1,9950.81,Higher School
Internet,75,Refinance,Conventional                                      ,494800.0,769,93.53,31.0,40,Own,1,11916.67,UnderGrad
Other,Other,Refinance,Conventional                                      ,238005.0,773,73.23,38.0,32,Own,1,13125.0,UnderGrad
Internet,77,Refinance,Conventional                                      ,158529.0,798,29.35,26.0,49,Own,1,13347.48,UnderGrad
