LeadID,DateAdded,LeadSourceGroup,LoanOfficer,Group,ZipCode,LoanNumber,ApprovalDate,BranchCode,LoanPurpose,LoanType,TotalLoanAmount,CreditScore,CLTV,DTI,BorrowerAge,BorrowerYearsInSchool,BorrowerTotalMonthlyIncome,BorrowerOwnRent,BorrowerCity,BorrowerState,IsCoBorrowerower,CoBorrowerYearsInSchool,CoBorrowerAge,CoBorrowerTotalMonthlyIncome
465688,10/24/2019 11:03,Repeat Client,"Flores, Lupe",Refinance Team - 4101,76401,41101914096,11/4/2019,4101,Refinance Cash-out                                ,Conventional                                      ,165600,688,80,42,47,14,7875.6,Own,Stephenville,TX,TRUE,0,0,0
465700,10/24/2019 12:19,Referral,"Sharpe, Jenny",Admin,75013,41031913981,,4103,Refinance Cash-out                                ,Conventional                                      ,187557,700,56.83,23,52,16,10400,Own,Allen,TX,TRUE,16,51,0
465711,10/24/2019 12:57,Social Media,"Corcoran, Karla",Refinance Team - 4103,75454,41031914108,,4103,Refinance                                         ,Conventional                                      ,207000,781,73.92,27,27,16,6500,Own,Melissa,TX,TRUE,0,0,0
465713,10/24/2019 13:05,Internet,"Alexander, Gary",Refinance Team - 4102,75009,41021914225,,4102,Refinance                                         ,Conventional                                      ,334000,622,74.22,60,38,16,11666.67,Own,Celina,TX,TRUE,0,0,0
465720,10/24/2019 13:31,Internet,"Murphy, John",Refinance Team - 4101,76086,41011915335,1/6/2020,4101,Refinance Cash-out                                ,Conventional                                      ,120000,528,66.66,31,60,14,1892.5,Own,Weatherford,TX,TRUE,0,0,0
465724,10/24/2019 13:41,Self Sourced,"Morgan, Matthew",Refinance Team - 4103,75234,4108199978,11/25/2019,4103,Refinance Cash-out                                ,Conventional                                      ,238000,747,65.2,33,34,16,4512.5,Own,Famers Branch,TX,TRUE,16,35,3678.38
465729,10/24/2019 13:51,Internet,"Vander Plaats, Brian",Refinance Team - 4102,75090,41021914331,11/14/2019,4102,Refinance Cash-out                                ,Conventional                                      ,123750,670,75,42,48,12,4709.25,Own,Sherman,TX,TRUE,0,0,0
465743,10/24/2019 15:25,Radio,"Vander Plaats, Brian",Refinance Team - 4102,76248,41022018429,,4102,VA IRRRL                                          ,VA                                                ,394362,761,80.57,,73,0,0,Own,Keller,TX,TRUE,0,76,0
465750,10/24/2019 15:56,Repeat Client,"Frank, Michael",Refinance Team - 4103,76088,41031913961,10/31/2019,4103,Purchase                                          ,Conventional                                      ,150000,649,28.57,49,56,12,4915,Own,Weatherford,TX,TRUE,0,0,0
465754,10/24/2019 16:12,Referral,"Johnson, Chris",Refinance Team - 4102,75001,41021913246,10/29/2019,4102,Purchase                                          ,FHA                                               ,287693,777,96.5,43,52,16,9844.12,Rent,Addison,TX,TRUE,16,53,0
465759,10/24/2019 16:37,Radio,"Cobb, William",Purchase Team - 4105,75418,41051916040,12/16/2019,4105,Purchase                                          ,Conventional                                      ,484350,626,79.4,43,45,16,12131.79,Own,Mckinney,TX,TRUE,16,43,8417.31
465769,10/24/2019 17:33,Internet,"Swaney, Daniel",Purchase Team - 4105,75093,41051915081,12/9/2019,4105,Refinance Cash-out                                ,Conventional                                      ,300000,756,47.24,43,73,16,4062.4,Own,Plano,TX,TRUE,16,65,1315.5
465783,10/24/2019 18:43,Repeat Client,"Flores, Lupe",Refinance Team - 4101,76040,41101914149,10/31/2019,4101,Refinance Cash-out                                ,Conventional                                      ,188000,685,80,37,57,14,6741.45,Own,Euless,TX,TRUE,12,55,4211.97
465793,10/24/2019 19:42,Internet,"Corcoran, Karla",Refinance Team - 4103,77388,41031914321,,4103,Refinance                                         ,FHA                                               ,209605,703,95.81,41,29,14,5351.33,Own,Spring,TX,TRUE,0,0,0
465827,10/25/2019 9:20,Repeat Client,"Todd, Michael",Refinance Team - 4101,75132,41081914159,12/2/2019,4108,Purchase                                          ,Conventional                                      ,306000,791,90,42,68,13,0,Rent,Dallas,TX,TRUE,13,63,7992.45
465830,10/25/2019 9:40,Repeat Client,"Johnson, Chris",Refinance Team - 4102,76210,41021913946,11/14/2019,4102,Refinance Cash-out                                ,Conventional                                      ,137500,741,50,42,78,16,2498.5,Own,Denton,TX,TRUE,16,77,968.5
465834,10/25/2019 9:50,Self Sourced,"Alexander, Gary",Refinance Team - 4102,75234,41021914084,10/29/2019,4102,Refinance Cash-out                                ,Conventional                                      ,126000,728,60,50,60,16,7575.76,Own,Dallas,TX,TRUE,12,59,1400
465838,10/25/2019 10:11,Internet,"Sharpe, Jenny",Admin,76036,41011915906,12/30/2019,4101,Refinance Cash-out                                ,Conventional                                      ,100000,539,45.45,26,33,20,7227.69,Own,Crowley,TX,TRUE,0,0,0
465843,10/25/2019 10:46,TV,"Mishou, Stephanie",Refinance Team - 4101,77426,4101200632,,4101,Refinance Cash-out                                ,Conventional                                      ,226760,0,77.52,72,54,17,3094,Own,Chappell Hill,TX,TRUE,0,58,0
465852,10/25/2019 11:27,Repeat Client,"Alexander, Gary",Refinance Team - 4102,75048,41021914162,11/26/2019,4102,Refinance Cash-out                                ,Conventional                                      ,269600,754,80,40,56,16,6191.54,Own,Plano,TX,TRUE,0,0,0
465856,10/25/2019 11:35,Repeat Client,"Alexander, Gary",Refinance Team - 4102,76649,41021914167,11/25/2019,4102,Refinance Cash-out                                ,Conventional                                      ,340000,781,80,48,62,16,6966.67,Own,Iredell,TX,TRUE,0,0,0
465857,10/25/2019 11:38,Radio,"Swaney, Daniel",Purchase Team - 4105,75074,41051914164,11/21/2019,4105,Refinance Cash-out                                ,Conventional                                      ,100000,726,40,38,62,16,10833.33,Own,Plano,TX,TRUE,16,59,1331
465863,10/25/2019 12:02,Radio,"Lowe, Scott",Refinance Team - 4101,75218,41011914229,12/2/2019,4101,Refinance Cash-out                                ,Conventional                                      ,480000,764,53.33,63,52,24,7500,Own,Dallas,TX,TRUE,0,0,0
465869,10/25/2019 12:35,Internet,"Flores, Lupe",Refinance Team - 4101,77345,41101916343,12/30/2019,4101,Refinance Cash-out                                ,Conventional                                      ,100000,662,71.42,39,74,16,2748.6,Own,Kingwood,TX,TRUE,14,66,1252.6
465889,10/25/2019 14:34,Radio,"Milburn, Joe",Purchase Team - 4105,75457,41052026671,,4105,Refinance                                         ,Conventional                                      ,358600,778,77.95,29,55,16,11438.27,Own,Frisco,TX,TRUE,16,51,6933.32
465893,10/25/2019 15:04,TV,"Nguyen, Tu",Refinance Team - 4102,75043,41021914182,,4102,Refinance Cash-out                                ,Conventional                                      ,145000,641,69.04,28,41,16,4583.33,Own,Garland,TX,TRUE,0,0,0
465900,10/25/2019 15:40,Radio,"Sharpe, Jenny",Admin,76049,41031914249,,4103,Refinance Cash-out                                ,Conventional                                      ,190000,621,74.8,38,37,16,6250,Own,Granbury,TX,TRUE,0,0,0
465905,10/25/2019 16:07,Internet,"Cobb, William",Purchase Team - 4105,76107,41051914196,11/13/2019,4105,Purchase                                          ,Conventional                                      ,318250,765,95,49,39,16,8859.2,Rent,Fort Worth,TX,TRUE,0,0,0
465908,10/25/2019 16:30,TV,"Flores, Lupe",Refinance Team - 4101,76034,41101914188,11/11/2019,4101,Refinance Cash-out                                ,Conventional                                      ,326250,742,75,37,60,18,13421.19,Own,Colleyville,TX,TRUE,0,0,0
465912,10/25/2019 16:54,Internet,"Nguyen, Tu",Refinance Team - 4102,75070,41021914190,,4102,Refinance Cash-out                                ,Conventional                                      ,208000,761,80,42,64,16,6090,Own,Mckinney,TX,TRUE,0,0,0
465927,10/25/2019 19:20,TV,"Rimmer-Ratzel, Ashley",Refinance Team - 4103,75238,41031914423,12/4/2019,4103,Refinance Cash-out                                ,Conventional                                      ,220000,791,52.13,18,65,16,12070.08,Own,Dallas,TX,TRUE,14,54,0
465945,10/26/2019 6:06,Internet,"Sharpe, Jenny",Admin,75007,41081917328,1/8/2020,4110,Purchase                                          ,FHA                                               ,250381,678,96.5,44,62,16,7574.65,Rent,Sherman,TX,TRUE,0,0,0
466053,10/26/2019 20:34,Internet,"Swaney, Daniel",Purchase Team - 4105,76082,41051914309,12/6/2019,4105,Purchase                                          ,FHA                                               ,324022,722,96.5,41,43,16,8576,Own,CROWLEY,TX,TRUE,0,42,2805
466063,10/27/2019 0:11,Radio,"Boldt, Bob",Refinance Team - 4101,75116,41011914237,,4101,Refinance Cash-out                                ,Conventional                                      ,110000,699,68.75,45,46,16,5000,Own,Duncanville,TX,TRUE,0,0,0
466165,10/28/2019 8:39,TV,"Flores, Lupe",Refinance Team - 4101,76012,41101914226,11/7/2019,4110,Refinance Cash-out                                ,Conventional                                      ,208000,708,62.08,40,55,12,8425.42,Own,Arlington,TX,TRUE,0,0,0
466166,10/28/2019 8:41,TV,"Swaney, Daniel",Purchase Team - 4105,76051,41051914231,,4105,Refinance Cash-out                                ,Conventional                                      ,240000,709,80,40,63,16,11416,Own,Grapevine,TX,TRUE,0,0,0
466167,10/28/2019 8:43,Referral,,,75028,41011914102,11/15/2019,4101,Refinance                                         ,Conventional                                      ,348988,785,65.23,44,53,17,7432.22,Own,Flower Mound,TX,TRUE,15,51,7517.65
466174,10/28/2019 9:06,Radio,"Sharpe, Jenny",Admin,76244,41031914278,,4103,VA IRRRL                                          ,VA                                                ,343710,788,85.5,,53,0,0,Own,Keller,TX,TRUE,0,54,0
466178,10/28/2019 9:29,Internet,"Johnson, Adrienne",Refinance Team - 4103,77355,41031914449,11/21/2019,4103,Refinance Cash-out                                ,Conventional                                      ,415000,742,77.57,40,77,16,6856.44,Own,Magnolia,TX,TRUE,16,59,-112
466192,10/28/2019 10:27,TV,"Sharpe, Jenny",Admin,77650,41031914397,11/18/2019,4103,Refinance Cash-out                                ,Conventional                                      ,218000,796,67.07,32,65,14,0,Own,Crystal Beach,TX,TRUE,16,68,8988.92
466195,10/28/2019 10:34,Radio,"Swaney, Daniel",Purchase Team - 4105,76050,41051914316,11/18/2019,4105,Refinance Cash-out                                ,Conventional                                      ,221600,746,80,31,57,16,9964.12,Own,Grandview,TX,TRUE,16,52,0
466200,10/28/2019 10:45,Internet,"Mishou, Stephanie",Refinance Team - 4101,76449,41011915064,,4101,Refinance Cash-out                                ,Conventional                                      ,200000,658,38.46,72,57,15,837.93,Own,Weatherford,TX,TRUE,17,58,5400
466201,10/28/2019 10:45,Internet,"Sharp, James",Admin,76018,41031914743,12/3/2019,4103,Refinance Cash-out                                ,Conventional                                      ,184000,623,80,28,43,16,9306.74,Own,Arlington,TX,TRUE,0,0,0
466202,10/28/2019 10:47,Radio,"Mishou, Stephanie",Refinance Team - 4101,76034,41011914169,,4101,Refinance Cash-out                                ,Conventional                                      ,296000,733,80,39,42,15,10924.26,Own,Colleyville,TX,TRUE,0,0,0
466203,10/28/2019 10:51,Repeat Client,"Benitez, Bryan",Refinance Team - 4102,75167,4102199654,11/14/2019,4102,Refinance Cash-out                                ,Conventional                                      ,175000,616,59.93,44,40,16,5107,,Waxahachie,TX,TRUE,0,0,0
466245,10/28/2019 13:33,Self Sourced,"Todd, Michael",Refinance Team - 4101,75134,4101205880,4/15/2020,4101,Purchase                                          ,Conventional                                      ,167000,685,71.98,43,60,14,3042,Living Rent Free,Lancaster,TX,TRUE,0,0,0
466257,10/28/2019 13:59,TV,"Sharp, James",Admin,76063,41031914369,11/12/2019,4103,Refinance                                         ,Conventional                                      ,268885,779,76.17,25,57,16,0,Own,Mansfield,TX,TRUE,16,54,12218.16
466267,10/28/2019 14:26,TV,"Murphy, John",Refinance Team - 4101,76020,41011914276,12/2/2019,4101,Refinance Cash-out                                ,Conventional                                      ,208000,679,80,44,53,16,6667,Own,Azle,TX,TRUE,0,0,0
466272,10/28/2019 14:39,Internet,"Johnson, Chris",Refinance Team - 4102,75067,41021914399,11/18/2019,4102,Refinance Cash-out                                ,Conventional                                      ,273750,688,75,16,52,16,4508.4,Own,Lewisville,TX,TRUE,16,37,13750
466273,10/28/2019 14:39,Internet,"Sharpe, Jenny",Admin,76462,41031914283,11/15/2019,4103,Refinance                                         ,Conventional                                      ,211100,705,54.11,29,47,16,10765.42,Own,Lipan,TX,TRUE,0,0,0
466298,10/28/2019 15:57,Internet,"Johnson, Adrienne",Refinance Team - 4103,78738,41031914493,11/18/2019,4103,Refinance Cash-out                                ,Conventional                                      ,480000,776,80,44,35,16,9994.93,Own,Austin,TX,TRUE,0,0,0
466301,10/28/2019 16:11,Internet,"Todd, Michael",Refinance Team - 4101,76018,41081914290,,4108,Refinance Cash-out                                ,Conventional                                      ,125300,690,70,42,39,13,5343.33,Own,Arlington,TX,TRUE,0,0,0
466312,10/28/2019 16:49,Internet,"Sharp, James",Admin,76262,41031914323,11/19/2019,4103,Refinance Cash-out                                ,Conventional                                      ,484350,798,72.29,33,34,16,12500,Own,Keller,TX,TRUE,16,34,0
466319,10/28/2019 17:20,Internet,"Vander Plaats, Brian",Refinance Team - 4102,77339,41021914298,11/4/2019,4102,Refinance Cash-out                                ,Conventional                                      ,196500,772,75,12,51,16,44697.25,Own,College Station,TX,TRUE,16,51,0
462597,10/4/2019 10:25,TV,"Alexander, Gary",Refinance Team - 4102,75071,41021913021,11/1/2019,4102,Refinance                                         ,Conventional                                      ,249330,565,73.33,44,59,14,8080.42,Own,Mckinney,TX,TRUE,0,51,1950
462604,10/4/2019 11:11,Internet,"Johnson, Adrienne",Refinance Team - 4103,75160,41031914780,11/22/2019,4103,Refinance                                         ,FHA                                               ,121318,651,96.93,38,60,16,3256.11,Own,Terrell,TX,TRUE,16,63,1952.2
462605,10/4/2019 11:19,Internet,"Frank, Michael",Refinance Team - 4103,76070,41031913643,11/5/2019,4103,Refinance Cash-out                                ,Conventional                                      ,366400,685,80,30,68,12,23676.98,Own,Nemo,TX,TRUE,12,73,1357.4
462620,10/4/2019 12:30,Referral,"Sharp, James",Admin,76023,41011913032,10/28/2019,4101,Refinance Cash-out                                ,Conventional                                      ,121500,639,37.5,28,51,16,7416,Own,Boyd,TX,TRUE,0,0,0
462624,10/4/2019 12:41,Repeat Client,"Sharpe, Jenny",Admin,76208,41081912999,10/9/2019,4108,Refinance                                         ,Conventional                                      ,218922,672,74.21,47,46,14,4976.65,Own,Denton,TX,TRUE,14,41,7132.67
462629,10/4/2019 13:08,TV,"Sharp, James",Admin,75754,41031913036,11/19/2019,4103,Refinance Cash-out                                ,Conventional                                      ,85000,811,60.28,36,84,16,1506.75,Own,Ben Wheeler,TX,TRUE,0,0,0
462639,10/4/2019 13:56,Repeat Client,"Nguyen, Tu",Refinance Team - 4102,75022,41021913039,10/23/2019,4102,Refinance Cash-out                                ,Conventional                                      ,460000,670,80,34,54,16,0,Own,Plano,TX,TRUE,16,54,29503.16
462641,10/4/2019 13:59,Internet,"Vander Plaats, Brian",Refinance Team - 4102,76053,41021913042,10/16/2019,4102,Refinance                                         ,Conventional                                      ,146225,808,56.24,38,46,16,6237.5,Own,Fort Worth,TX,TRUE,16,39,0
462647,10/4/2019 14:21,Internet,"Rimmer-Ratzel, Ashley",Refinance Team - 4103,75025,41031913051,10/22/2019,4103,Refinance Cash-out                                ,Conventional                                      ,278400,724,80,43,63,16,8950.42,Own,Plano,TX,TRUE,16,69,5093.1
462675,10/4/2019 17:53,Self Sourced,"Swaney, Daniel",Purchase Team - 4105,75035,41051916920,1/7/2020,4105,Refinance                                         ,Conventional                                      ,216351,792,79.54,30,30,16,6250,Own,Frisco,TX,TRUE,0,0,0
462690,10/4/2019 19:15,Internet,"Vander Plaats, Brian",Refinance Team - 4102,75154,41021913181,10/21/2019,4102,Refinance                                         ,FHA                                               ,194037,622,89.95,52,39,16,6109.83,Own,Red Oak,TX,TRUE,0,0,0
462730,10/5/2019 9:21,Internet,"Vander Plaats, Brian",Refinance Team - 4102,75104,41021913058,10/25/2019,4102,Refinance                                         ,Conventional                                      ,284700,629,89.52,22,61,16,15000,Own,Cedar Hill,TX,TRUE,0,0,0
462746,10/5/2019 12:40,Repeat Client,"Johnson, Chris",Refinance Team - 4102,75231,41021913159,10/17/2019,4102,Refinance                                         ,Conventional                                      ,189000,806,38.57,22,57,16,5157,Own,Dallas,TX,TRUE,16,55,9583
462807,10/5/2019 23:11,Referral,"Cobb, William",Purchase Team - 4105,75070,41051913183,11/14/2019,4105,Purchase                                          ,Conventional                                      ,195000,772,70.9,34,59,16,14576.45,Own,McKinney,TX,TRUE,0,0,0
462839,10/6/2019 13:08,Internet,"Murphy, John",Refinance Team - 4101,77571,41011913139,10/21/2019,4101,Refinance Cash-out                                ,Conventional                                      ,165600,761,80,23,42,16,11533.34,Own,La Porte,TX,TRUE,0,0,0
462848,10/6/2019 14:23,Internet,"Vander Plaats, Brian",Refinance Team - 4102,75124,41031913347,10/30/2019,4103,Refinance                                         ,Conventional                                      ,148086,696,79.19,47,38,16,5924.39,Own,Eustace,TX,TRUE,16,36,0
462901,10/6/2019 21:11,Internet,"Benitez, Bryan",Refinance Team - 4102,79360,41021913099,10/30/2019,4102,Refinance                                         ,Conventional                                      ,200400,747,71.57,47,25,16,9741.25,Own,Seminole,TX,TRUE,0,0,0
462904,10/6/2019 21:34,Social Media,"Vander Plaats, Brian",Refinance Team - 4102,76247,41021913078,10/17/2019,4102,Refinance                                         ,FHA                                               ,292646,697,88.49,30,39,16,4319.51,Own,Justin,TX,TRUE,16,47,7213.43
462948,10/7/2019 9:42,TV,"Johnson, Adrienne",Refinance Team - 4103,75147,41031913092,,4103,Refinance Cash-out                                ,Conventional                                      ,100000,678,31.25,44,75,16,2337,Own,Mabank,TX,TRUE,0,0,0
462958,10/7/2019 10:13,Self Sourced,"Sharp, James",Admin,75068,41031913050,10/12/2019,4103,Refinance                                         ,Conventional                                      ,314000,787,91.01,44,47,16,7845,Own,Oak Point,TX,TRUE,0,0,0
462966,10/7/2019 10:31,Radio,"Johnson, Chris",Refinance Team - 4102,75081,41021913141,10/15/2019,4102,Refinance                                         ,Conventional                                      ,220147,741,75.91,21,37,16,7664,Own,Richardson,TX,TRUE,16,28,4732
462976,10/7/2019 10:46,Radio,"Frank, Michael",Refinance Team - 4103,76028,41031913103,10/27/2019,4103,Refinance                                         ,Conventional                                      ,464000,687,66.57,43,55,16,13474.79,Own,Burleson,TX,TRUE,0,0,0
462990,10/7/2019 11:39,Repeat Client,"Ancell, Susan",Purchase Team - 4105,76053,41051916109,12/24/2019,4105,Refinance Cash-out                                ,Conventional                                      ,116000,782,75.81,35,66,16,3158.67,Own,Hurst,TX,TRUE,0,0,0
463019,10/7/2019 13:02,Internet,"Sharp, James",Admin,77471,41031913130,12/6/2019,4103,Refinance Cash-out                                ,Conventional                                      ,195000,632,75,37,59,13,3946.81,Own,Rosenberg,TX,TRUE,0,0,0
463032,10/7/2019 13:38,Self Sourced,"Reed, Shawn",Purchase Team - 4105,75078,41051913049,11/11/2019,4105,Purchase                                          ,FHA                                               ,325986,726,96.5,46,32,12,6033.94,Rent,Carrollton,TX,TRUE,0,0,0
463037,10/7/2019 13:57,TV,"Johnson, Chris",Refinance Team - 4102,75075,41021913169,10/28/2019,4102,Refinance Cash-out                                ,Conventional                                      ,242400,718,80,44,58,16,6419.56,Own,Plano,TX,TRUE,16,59,3475.64
463049,10/7/2019 14:41,Internet,"Nguyen, Tu",Refinance Team - 4102,75087,41021913146,10/29/2019,4102,Refinance Cash-out                                ,Conventional                                      ,190000,686,60.89,31,52,16,10540.87,Own,Rockwall,TX,TRUE,0,0,0
463058,10/7/2019 15:06,Radio,"Johnson, Adrienne",Refinance Team - 4103,75088,4103201121,1/30/2020,4103,Refinance Cash-out                                ,Conventional                                      ,92000,752,42.79,39,58,16,4333.33,Own,Rowlett,TX,TRUE,16,56,5000
463077,10/7/2019 16:21,Internet,"Nguyen, Tu",Refinance Team - 4102,75052,41021913168,,4102,Refinance Cash-out                                ,Conventional                                      ,190000,691,79.16,24,35,16,5416.66,Own,Grand Prairie,TX,TRUE,16,34,5416.66
463082,10/7/2019 16:32,TV,"Johnson, Adrienne",Refinance Team - 4103,76063,41031913190,10/24/2019,4103,Refinance Cash-out                                ,Conventional                                      ,104000,689,80,43,51,16,4940,Own,Mansfield,TX,TRUE,0,0,0
463111,10/7/2019 19:23,Internet,"Johnson, Adrienne",Refinance Team - 4103,75104,41031913556,11/4/2019,4103,Refinance Cash-out                                ,Conventional                                      ,150000,625,60,40,51,16,5027,Own,Cedar Hill,TX,TRUE,0,0,0
463149,10/8/2019 7:46,Radio,"Johnson, Chris",Refinance Team - 4102,76137,41021913206,,4102,VA IRRRL                                          ,VA                                                ,227724,686,88.6,,38,12,0,Own,Watauga,TX,TRUE,12,32,0
463174,10/8/2019 10:10,Internet,"Swaney, Daniel",Purchase Team - 4105,75006,41051913649,12/2/2019,4105,Refinance                                         ,Conventional                                      ,308840,695,86.99,16,34,21,8750,Own,Carrollton,TX,TRUE,18,38,7295.84
463176,10/8/2019 10:20,Internet,"Frank, Michael",Refinance Team - 4103,75189,41031913340,11/5/2019,4103,Refinance Cash-out                                ,Conventional                                      ,180000,696,80,27,58,12,10223.64,Own,Royse City,TX,TRUE,0,0,0
463179,10/8/2019 10:50,Internet,"Cobb, William",Purchase Team - 4105,76001,4105195695,3/23/2020,4105,Purchase                                          ,FHA                                               ,343660,649,96.5,45,31,16,3439.81,Living Rent Free,Arlington,TX,TRUE,16,31,5166.66
463187,10/8/2019 11:10,Internet,"Vander Plaats, Brian",Refinance Team - 4102,75071,41021913292,,4102,Refinance Cash-out                                ,Conventional                                      ,241400,721,74.27,36,52,16,9166,Own,Mckinney,TX,TRUE,12,55,834
463206,10/8/2019 12:13,Radio,"Rimmer-Ratzel, Ashley",Refinance Team - 4103,75234,41031913319,10/28/2019,4103,Refinance Cash-out                                ,Conventional                                      ,320000,787,68.08,45,49,16,8936.31,Own,Dallas,TX,TRUE,18,49,0
463210,10/8/2019 12:22,TV,"Sharp, James",Admin,77515,41031916784,1/14/2020,4103,Refinance Cash-out                                ,Conventional                                      ,120000,718,54.54,41,39,16,6309.52,Own,Angleton,TX,TRUE,16,47,0
463216,10/8/2019 13:10,Self Sourced,"Benitez, Bryan",Refinance Team - 4102,75126,41021913043,,4102,Refinance                                         ,Conventional                                      ,259960,702,97,22,36,12,13083.33,Own,Forney,TX,TRUE,0,0,0
463226,10/8/2019 13:31,TV,"Sharpe, Jenny",Admin,75252,41011914823,,4101,Purchase                                          ,FHA                                               ,206552,588,79.6,38,55,16,5687.5,Rent,Dallas,TX,TRUE,0,0,0
463234,10/8/2019 13:52,Radio,"Swaney, Daniel",Purchase Team - 4105,76021,41051913392,10/22/2019,4105,Refinance                                         ,Conventional                                      ,175800,797,70.32,48,61,16,5000,Own,Bedford,TX,TRUE,0,0,0
463237,10/8/2019 14:07,Internet,"Corcoran, Karla",Refinance Team - 4103,78641,41031913254,,4103,Refinance Cash-out                                ,Conventional                                      ,225000,671,65.21,42,59,14,5355.84,Own,Leander,TX,TRUE,16,62,2800
463246,10/8/2019 14:37,Radio,"Murphy, John",Refinance Team - 4101,76670,41011913418,11/11/2019,4101,Refinance Cash-out                                ,Conventional                                      ,215000,752,24.29,22,77,14,22730.87,Own,Milford,TX,TRUE,0,0,0
463256,10/8/2019 15:11,Repeat Client,"Johnson, Chris",Refinance Team - 4102,75034,41021914893,12/3/2019,4102,Refinance Cash-out                                ,Conventional                                      ,215000,594,48.86,19,50,16,22004.99,Own,Frisco,TX,TRUE,0,0,0
463257,10/8/2019 15:18,TV,"Knight, Ken",Purchase Team - 4105,75233,41081913283,11/4/2019,4110,Refinance Cash-out                                ,Conventional                                      ,82000,627,41.83,43,51,14,3365.3,Own,Dallas,TX,TRUE,12,50,2825.89
463279,10/8/2019 17:16,Internet,"Knight, Ken",Purchase Team - 4105,76210,41081913253,10/24/2019,4108,Purchase                                          ,Conventional                                      ,150000,746,20.32,37,42,16,7472.4,Own,Denton,TX,TRUE,14,35,4499.99
463282,10/8/2019 17:32,Internet,"Johnson, Chris",Refinance Team - 4102,77494,41021913258,1/2/2020,4102,Refinance Cash-out                                ,Conventional                                      ,210000,583,75,45,52,16,9533.59,Own,Katy,TX,TRUE,16,52,11667
463300,10/8/2019 21:01,TV,"Johnson, Adrienne",Refinance Team - 4103,75180,41031913286,,4103,Refinance Cash-out                                ,Conventional                                      ,112000,657,80,41,36,16,7250,Own,Balch Springs,TX,TRUE,0,0,0
463328,10/9/2019 8:13,Radio,"Fargnoli, Sheila",Purchase Team - 4105,75043,41051913267,3/16/2020,4105,Purchase                                          ,VA                                                ,373000,623,100,31,48,16,4777.62,Rent,Garland,TX,TRUE,16,48,4291.67
463341,10/9/2019 9:36,Internet,"Corcoran, Karla",Refinance Team - 4103,76028,41031913781,10/29/2019,4103,Refinance Cash-out                                ,Conventional                                      ,234400,766,80,22,42,16,8919.54,Own,Burleson,TX,TRUE,0,0,0
463354,10/9/2019 10:43,Internet,"Sharp, James",Admin,75410,41011913284,10/24/2019,4101,Refinance Cash-out                                ,Conventional                                      ,180000,683,63.15,41,73,16,2315,Own,Alba,TX,TRUE,16,61,1588
463358,10/9/2019 11:06,TV,"Morgan, Matthew",Refinance Team - 4103,76116,41031913876,,4103,Refinance Cash-out                                ,Conventional                                      ,165000,706,51.56,48,37,16,8400,Own,Fort Worth,TX,TRUE,0,0,0
463360,10/9/2019 11:17,Internet,"Benitez, Bryan",Refinance Team - 4102,77568,41021913289,,4102,Refinance                                         ,Conventional                                      ,145500,683,72.75,43,67,14,4112.55,Own,La Marque,TX,TRUE,0,0,0
463362,10/9/2019 11:27,TV,"Murphy, John",Refinance Team - 4101,76063,41011915744,1/23/2020,4101,Refinance Cash-out                                ,Conventional                                      ,180000,698,80,42,65,14,5384.64,Own,Mansfield,TX,TRUE,0,0,0
463374,10/9/2019 12:19,Internet,"Frank, Michael",Refinance Team - 4103,75189,41031913353,10/22/2019,4103,Refinance                                         ,Conventional                                      ,188737,811,70.95,20,60,12,11151.3,Own,Royse City,TX,TRUE,0,0,0
463380,10/9/2019 12:42,TV,"Ancell, Susan",Purchase Team - 4105,75067,41051913686,,4105,Refinance Cash-out                                ,Conventional                                      ,205000,706,77.35,56,41,16,5416.67,Own,Lewisville,TX,TRUE,0,0,0
463387,10/9/2019 12:59,TV,"Knight, Ken",Purchase Team - 4105,75080,41081913297,11/4/2019,4108,Refinance Cash-out                                ,Conventional                                      ,70000,624,28,34,49,12,5907.5,Own,Richardson,TX,TRUE,12,55,537.11
463399,10/9/2019 13:58,Internet,"Vander Plaats, Brian",Refinance Team - 4102,75034,41021913200,11/1/2019,4102,Refinance                                         ,Conventional                                      ,455800,714,45.53,37,57,16,0,Own,Frisco,TX,TRUE,16,57,15026.34
463400,10/9/2019 14:00,Internet,"Sharpe, Jenny",Admin,77025,41031913387,,4103,Refinance                                         ,Conventional                                      ,189570,660,54.94,26,68,16,6661.75,Own,Houston,TX,TRUE,0,0,0
463415,10/9/2019 14:48,Referral,"Ancell, Susan",Purchase Team - 4105,77433,41051913375,10/23/2019,4105,Refinance Cash-out                                ,Conventional                                      ,275000,800,78.84,40,58,14,10251.31,Own,Cypress,TX,TRUE,14,54,0
463417,10/9/2019 14:52,Internet,"Boldt, Bob",Refinance Team - 4101,75080,41011913309,10/25/2019,4101,Refinance Cash-out                                ,Conventional                                      ,329600,725,80,28,56,16,7745.75,Own,Richardson,TX,TRUE,16,62,13866.67
463426,10/9/2019 15:51,Internet,"Cobb, William",Purchase Team - 4105,76028,41051913404,12/12/2019,4105,Purchase                                          ,Conventional                                      ,172660,714,97,42,23,16,4541.67,Living Rent Free,Godley,TX,TRUE,0,0,0
465026,10/21/2019 9:34,Referral,"Fargnoli, Sheila",Purchase Team - 4105,75147,41051911290,,4105,Purchase                                          ,FHA                                               ,158083,614,96.5,45,34,16,7522.71,Own,Kemp,TX,TRUE,0,0,0
